Ngram,Count,Katz_Prob
"<s> <s> <s> చండీగఢ్",2,0.00018946570670708602
"<s> <s> చండీగఢ్ :",2,0.75
"<s> చండీగఢ్ : ఒక్కసారి",1,0.25
"చండీగఢ్ : ఒక్కసారి నోరుజారి",1,0.5
": ఒక్కసారి నోరుజారి అనకూడదని",1,0.5
"ఒక్కసారి నోరుజారి అనకూడదని మాట",1,0.5
"నోరుజారి అనకూడదని మాట అంటే",1,0.5
"అనకూడదని మాట అంటే వెనక్కు",1,0.5
"మాట అంటే వెనక్కు తీసుకోవడం",1,0.5
"అంటే వెనక్కు తీసుకోవడం కష్టం",1,0.5
"వెనక్కు తీసుకోవడం కష్టం .",1,0.5
"తీసుకోవడం కష్టం . ప్రజా",1,0.5
"కష్టం . ప్రజా జీవితంలో",1,0.5
". ప్రజా జీవితంలో ఉండేవారు",1,0.5
"ప్రజా జీవితంలో ఉండేవారు మరింత",1,0.5
"జీవితంలో ఉండేవారు మరింత జాగ్రత్తగా",1,0.5
"ఉండేవారు మరింత జాగ్రత్తగా ఉండాలి",1,0.5
"మరింత జాగ్రత్తగా ఉండాలి .",1,0.5
"జాగ్రత్తగా ఉండాలి . లేకుంటే",1,0.25
"ఉండాలి . లేకుంటే వివాదాల్లో",1,0.5
". లేకుంటే వివాదాల్లో చిక్కుకుంటారు",1,0.5
"లేకుంటే వివాదాల్లో చిక్కుకుంటారు .",1,0.5
"వివాదాల్లో చిక్కుకుంటారు . హర్యానా",1,0.5
"చిక్కుకుంటారు . హర్యానా ముఖ్యమంత్రి",1,0.5
". హర్యానా ముఖ్యమంత్రి మనోహర్",1,0.5
"హర్యానా ముఖ్యమంత్రి మనోహర్ ఖట్టర్",1,0.5
"ముఖ్యమంత్రి మనోహర్ ఖట్టర్ కూ",1,0.5
"మనోహర్ ఖట్టర్ కూ డా",1,0.5
"ఖట్టర్ కూ డా ఇప్పుడు",1,0.5
"కూ డా ఇప్పుడు అదే",1,0.5
"డా ఇప్పుడు అదే పరిస్థితిలో",1,0.5
"ఇప్పుడు అదే పరిస్థితిలో ఉన్నారు",1,0.5
"అదే పరిస్థితిలో ఉన్నారు .",1,0.5
"పరిస్థితిలో ఉన్నారు . ‘",1,0.5
"ఉన్నారు . ‘ ఇప్పుడు",1,0.5
". ‘ ఇప్పుడు హర్యానాలో",1,0.5
"‘ ఇప్పుడు హర్యానాలో అబ్బాయిలు",1,0.5
"ఇప్పుడు హర్యానాలో అబ్బాయిలు పెళ్లి",1,0.5
"హర్యానాలో అబ్బాయిలు పెళ్లి కాలేదని",1,0.5
"అబ్బాయిలు పెళ్లి కాలేదని దిగులుపడక్కర్లేదు",1,0.5
"పెళ్లి కాలేదని దిగులుపడక్కర్లేదు .",1,0.5
"కాలేదని దిగులుపడక్కర్లేదు . కశ్మీర్",1,0.5
"దిగులుపడక్కర్లేదు . కశ్మీర్ నుంచి",1,0.5
". కశ్మీర్ నుంచి వధువుల్ని",1,0.5
"కశ్మీర్ నుంచి వధువుల్ని తెచ్చుకోవచ్చు",1,0.5
"నుంచి వధువుల్ని తెచ్చుకోవచ్చు …",1,0.5
"వధువుల్ని తెచ్చుకోవచ్చు … ’",1,0.5
"తెచ్చుకోవచ్చు … ’ వ్యాఖ్యానించారు",1,0.5
"… ’ వ్యాఖ్యానించారు .",1,0.5
"’ వ్యాఖ్యానించారు . జమ్మూకశ్మీర్",1,0.25
"వ్యాఖ్యానించారు . జమ్మూకశ్మీర్ కు",1,0.5
". జమ్మూకశ్మీర్ కు ప్రత్యేక",1,0.5
"జమ్మూకశ్మీర్ కు ప్రత్యేక ప్రతిపత్తి",1,0.25
"కు ప్రత్యేక ప్రతిపత్తి కల్పించిన",1,0.16666666666666666
"ప్రత్యేక ప్రతిపత్తి కల్పించిన ఆర్టికల్",1,0.5
"ప్రతిపత్తి కల్పించిన ఆర్టికల్ 370",1,0.5
"కల్పించిన ఆర్టికల్ 370 రద్దును",1,0.5
"ఆర్టికల్ 370 రద్దును దృష్టిలో",1,0.5
"370 రద్దును దృష్టిలో ఉంచుకొని",1,0.5
"రద్దును దృష్టిలో ఉంచుకొని ఆయన",1,0.5
"దృష్టిలో ఉంచుకొని ఆయన అన్న",1,0.5
"ఉంచుకొని ఆయన అన్న మాట",1,0.5
"ఆయన అన్న మాట నిప్పును",1,0.5
"అన్న మాట నిప్పును రాజేసింది",1,0.5
"మాట నిప్పును రాజేసింది .",1,0.5
"నిప్పును రాజేసింది . జాతీయ",1,0.5
"రాజేసింది . జాతీయ మహిళా",1,0.5
". జాతీయ మహిళా కమిషన్",1,0.5
"జాతీయ మహిళా కమిషన్ (",1,0.5
"మహిళా కమిషన్ ( ఎన్",1,0.5
"కమిషన్ ( ఎన్ సిడబ్లూ",1,0.25
"( ఎన్ సిడబ్లూ )",1,0.5
"ఎన్ సిడబ్లూ ) ఛైర్",1,0.5
"సిడబ్లూ ) ఛైర్ పర్సన్",1,0.5
") ఛైర్ పర్సన్ రేఖా",1,0.5
"ఛైర్ పర్సన్ రేఖా శర్మ",1,0.5
"పర్సన్ రేఖా శర్మ ఆయన",1,0.5
"రేఖా శర్మ ఆయన వ్యాఖ్యపై",1,0.5
"శర్మ ఆయన వ్యాఖ్యపై విరుచుకుపడ్డారు",1,0.5
"ఆయన వ్యాఖ్యపై విరుచుకుపడ్డారు .",1,0.5
