Ngram,Count,KneserNey_Prob
"<s> <s> <s> చండీగఢ్",2,0.00023490986443428408
"<s> <s> చండీగఢ్ :",2,0.964932134776249
"<s> చండీగఢ్ : ఒక్కసారి",1,0.18766114802630696
"చండీగఢ్ : ఒక్కసారి నోరుజారి",1,0.44577376034863364
": ఒక్కసారి నోరుజారి అనకూడదని",1,0.5781269283951181
"ఒక్కసారి నోరుజారి అనకూడదని మాట",1,0.5782233481510262
"నోరుజారి అనకూడదని మాట అంటే",1,0.4401235261446047
"అనకూడదని మాట అంటే వెనక్కు",1,0.4382549751913839
"మాట అంటే వెనక్కు తీసుకోవడం",1,0.45513019166819035
"అంటే వెనక్కు తీసుకోవడం కష్టం",1,0.44316171664304976
"వెనక్కు తీసుకోవడం కష్టం .",1,0.6160379322922733
"తీసుకోవడం కష్టం . ప్రజా",1,0.2709725814558012
"కష్టం . ప్రజా జీవితంలో",1,0.276465955635424
". ప్రజా జీవితంలో ఉండేవారు",1,0.4407924132650729
"ప్రజా జీవితంలో ఉండేవారు మరింత",1,0.4492984569982173
"జీవితంలో ఉండేవారు మరింత జాగ్రత్తగా",1,0.43846398471193704
"ఉండేవారు మరింత జాగ్రత్తగా ఉండాలి",1,0.4845018455455501
"మరింత జాగ్రత్తగా ఉండాలి .",1,0.8578893992771867
"జాగ్రత్తగా ఉండాలి . లేకుంటే",1,0.1280886056273586
"ఉండాలి . లేకుంటే వివాదాల్లో",1,0.3578144283951182
". లేకుంటే వివాదాల్లో చిక్కుకుంటారు",1,0.5781269283951181
"లేకుంటే వివాదాల్లో చిక్కుకుంటారు .",1,0.5955750474242355
"వివాదాల్లో చిక్కుకుంటారు . హర్యానా",1,0.43750732361731876
"చిక్కుకుంటారు . హర్యానా ముఖ్యమంత్రి",1,0.4577821252261018
". హర్యానా ముఖ్యమంత్రి మనోహర్",1,0.4384484511559902
"హర్యానా ముఖ్యమంత్రి మనోహర్ ఖట్టర్",1,0.45508198179023635
"ముఖ్యమంత్రి మనోహర్ ఖట్టర్ కూ",1,0.5078259987658271
"మనోహర్ ఖట్టర్ కూ డా",1,0.44923996234629976
"ఖట్టర్ కూ డా ఇప్పుడు",1,0.44641814444822187
"కూ డా ఇప్పుడు అదే",1,0.4475387746631204
"డా ఇప్పుడు అదే పరిస్థితిలో",1,0.27753711529449565
"ఇప్పుడు అదే పరిస్థితిలో ఉన్నారు",1,0.44945015741417926
"అదే పరిస్థితిలో ఉన్నారు .",1,0.9482478853749352
"పరిస్థితిలో ఉన్నారు . ‘",1,0.2527759148150712
"ఉన్నారు . ‘ ఇప్పుడు",1,0.2516271731769024
". ‘ ఇప్పుడు హర్యానాలో",1,0.43790015469772064
"‘ ఇప్పుడు హర్యానాలో అబ్బాయిలు",1,0.4726620351853545
"ఇప్పుడు హర్యానాలో అబ్బాయిలు పెళ్లి",1,0.47279702284362574
"హర్యానాలో అబ్బాయిలు పెళ్లి కాలేదని",1,0.43907569879325314
"అబ్బాయిలు పెళ్లి కాలేదని దిగులుపడక్కర్లేదు",1,0.45759121410940384
"పెళ్లి కాలేదని దిగులుపడక్కర్లేదు .",1,0.5955750474242355
"కాలేదని దిగులుపడక్కర్లేదు . కశ్మీర్",1,0.43764940796912705
"దిగులుపడక్కర్లేదు . కశ్మీర్ నుంచి",1,0.27448133970280025
". కశ్మీర్ నుంచి వధువుల్ని",1,0.43766100311658873
"కశ్మీర్ నుంచి వధువుల్ని తెచ్చుకోవచ్చు",1,0.5781269283951181
"నుంచి వధువుల్ని తెచ్చుకోవచ్చు …",1,0.578676521003794
"వధువుల్ని తెచ్చుకోవచ్చు … ’",1,0.44019097261439755
"తెచ్చుకోవచ్చు … ’ వ్యాఖ్యానించారు",1,0.34478995070633833
"… ’ వ్యాఖ్యానించారు .",1,0.9894502788316497
"’ వ్యాఖ్యానించారు . జమ్మూకశ్మీర్",1,0.1292656247102305
"వ్యాఖ్యానించారు . జమ్మూకశ్మీర్ కు",1,0.5556018806851944
". జమ్మూకశ్మీర్ కు ప్రత్యేక",1,0.7209115914461326
"జమ్మూకశ్మీర్ కు ప్రత్యేక ప్రతిపత్తి",1,0.34003676968594254
"కు ప్రత్యేక ప్రతిపత్తి కల్పించిన",1,0.1927141185186878
"ప్రత్యేక ప్రతిపత్తి కల్పించిన ఆర్టికల్",1,0.4843942839511816
"ప్రతిపత్తి కల్పించిన ఆర్టికల్ 370",1,0.5851675311114413
"కల్పించిన ఆర్టికల్ 370 రద్దును",1,0.2859390427160945
"ఆర్టికల్ 370 రద్దును దృష్టిలో",1,0.4844174246925995
"370 రద్దును దృష్టిలో ఉంచుకొని",1,0.5205990452301504
"రద్దును దృష్టిలో ఉంచుకొని ఆయన",1,0.33290481298852675
"దృష్టిలో ఉంచుకొని ఆయన అన్న",1,0.43776451752490725
"ఉంచుకొని ఆయన అన్న మాట",1,0.44791528093902006
"ఆయన అన్న మాట నిప్పును",1,0.3461760318859517
"అన్న మాట నిప్పును రాజేసింది",1,0.5781269283951181
"మాట నిప్పును రాజేసింది .",1,0.5955750474242355
"నిప్పును రాజేసింది . జాతీయ",1,0.4381248952587119
"రాజేసింది . జాతీయ మహిళా",1,0.25578090003199705
". జాతీయ మహిళా కమిషన్",1,0.4411318767339074
"జాతీయ మహిళా కమిషన్ (",1,0.4821971400053276
"మహిళా కమిషన్ ( ఎన్",1,0.5667098900829936
"కమిషన్ ( ఎన్ సిడబ్లూ",1,0.14474625783897987
"( ఎన్ సిడబ్లూ )",1,0.5793958123828679
"ఎన్ సిడబ్లూ ) ఛైర్",1,0.4376886570370709
"సిడబ్లూ ) ఛైర్ పర్సన్",1,0.5781346419755908
") ఛైర్ పర్సన్ రేఖా",1,0.46562885679023636
"ఛైర్ పర్సన్ రేఖా శర్మ",1,0.48442128148283586
"పర్సన్ రేఖా శర్మ ఆయన",1,0.4416177816803688
"రేఖా శర్మ ఆయన వ్యాఖ్యపై",1,0.4377029416830855
"శర్మ ఆయన వ్యాఖ్యపై విరుచుకుపడ్డారు",1,0.5781404271609453
"ఆయన వ్యాఖ్యపై విరుచుకుపడ్డారు .",1,0.9494468809280294
"వ్యాఖ్యపై విరుచుకుపడ్డారు . మహిళలపై",1,0.27344312276197513
"విరుచుకుపడ్డారు . మహిళలపై ఆ",1,0.4735934500274261
". మహిళలపై ఆ వ్యాఖ్య",1,0.437627442100761
"మహిళలపై ఆ వ్యాఖ్య చేసినందుకు",1,0.4575975502647921
"ఆ వ్యాఖ్య చేసినందుకు హర్యానా",1,0.4656384987658271
"వ్యాఖ్య చేసినందుకు హర్యానా సిఎం",1,0.4576394239873579
"చేసినందుకు హర్యానా సిఎం సంజాయిషీ",1,0.4417631167228347
"హర్యానా సిఎం సంజాయిషీ చెప్పాలని",1,0.5078472111121268
"సిఎం సంజాయిషీ చెప్పాలని ఆమె",1,0.4445567629735077
"సంజాయిషీ చెప్పాలని ఆమె శనివారం",1,0.4379465876629168
"చెప్పాలని ఆమె శనివారం డిమాండ్",1,0.4397449246198789
"ఆమె శనివారం డిమాండ్ చేశారు",1,0.6809399376342734
"శనివారం డిమాండ్ చేశారు .",1,0.9993607889779347
"డిమాండ్ చేశారు . </s>",11,0.39520274034343006
"చేశారు . </s> </s>",148,0.9999993453256604
". </s> </s> </s>",5771,0.9998708109303186
"<s> <s> <s> సిద్ధాంత్",1,4.710720789678515e-05
"<s> <s> సిద్ధాంత్ బాత్రా",1,0.5078163567902363
"<s> సిద్ధాంత్ బాత్రా అభ్యర్థనను",1,0.4726620351853545
"సిద్ధాంత్ బాత్రా అభ్యర్థనను ఐఐటీ",1,0.4843807851853545
"బాత్రా అభ్యర్థనను ఐఐటీ తిరస్కరించింది",1,0.5078202135804726
"అభ్యర్థనను ఐఐటీ తిరస్కరించింది .",1,0.8988937618560588
"ఐఐటీ తిరస్కరించింది . సీటు",1,0.29690609030672704
"తిరస్కరించింది . సీటు ఉపసంహరణ",1,0.34937870251862685
". సీటు ఉపసంహరణ లేఖ",1,0.5078780654340175
"సీటు ఉపసంహరణ లేఖ (",1,0.44229974070324385
"ఉపసంహరణ లేఖ ( క్యాన్సిలేషన్",1,0.4376691203284775
"లేఖ ( క్యాన్సిలేషన్ లెటర్",1,0.5781346419755908
"( క్యాన్సిలేషన్ లెటర్ )",1,0.46689581238286787
"క్యాన్సిలేషన్ లెటర్ ) ను",1,0.45037478002011244
"లెటర్ ) ను రద్దు",1,0.2623363758842889
") ను రద్దు చేసే",1,0.314019016962605
"ను రద్దు చేసే అధికారం",1,0.44215105643348696
